ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.5161,9.7305,1.0969,-0.0267,-0.3438,-0.0648,-0.009,0.0239,-0.0639,4,2019-08-07 16:59:14:977
2.5113,9.6923,0.9697,0.0029,-0.2641,0.0418,-0.0207,-0.0112,-0.0693,9,2019-08-07 16:59:14:982
2.5113,9.6923,0.9697,0.0029,-0.2641,0.0418,-0.0207,-0.0112,-0.0693,13,2019-08-07 16:59:14:986
2.5113,9.6923,0.9697,0.0029,-0.2641,0.0418,-0.0239,0.0037,-0.0671,19,2019-08-07 16:59:14:992
2.564,9.7257,1.1582,0.0029,-0.2641,0.0418,-0.0239,0.0037,-0.0671,24,2019-08-07 16:59:14:997
2.564,9.7257,1.1582,0.0029,-0.2641,0.0418,-0.0239,0.0037,-0.0671,28,2019-08-07 16:59:15:001
2.5783,9.6541,1.2148,-0.101,-0.2755,-0.0993,-0.0239,0.0016,-0.065,34,2019-08-07 16:59:15:007
2.5783,9.6541,1.2148,-0.101,-0.2755,-0.0993,-0.0239,0.0016,-0.065,39,2019-08-07 16:59:15:012
2.5783,9.6541,1.2148,-0.101,-0.2755,-0.0993,-0.0314,-0.0134,-0.0714,43,2019-08-07 16:59:15:016
2.674,9.5825,1.1158,-0.2427,-0.2251,-0.0222,-0.0356,0.0037,-0.0799,49,2019-08-07 16:59:15:022
2.674,9.5825,1.1158,-0.2427,-0.2251,-0.0222,-0.0356,0.0037,-0.0799,54,2019-08-07 16:59:15:027
2.7027,9.6923,1.1488,-0.2427,-0.2251,-0.0222,-0.0356,0.0037,-0.0799,59,2019-08-07 16:59:15:032
2.7027,9.6923,1.1488,-0.2427,-0.2251,-0.0222,-0.0303,0.0548,-0.0927,64,2019-08-07 16:59:15:037
2.7027,9.6923,1.1488,-0.2427,-0.2251,-0.0222,-0.0303,0.0548,-0.0927,68,2019-08-07 16:59:15:041
2.5879,9.5873,1.1205,-0.1208,-0.1787,-0.1126,-0.0186,0.0836,-0.097,74,2019-08-07 16:59:15:047
2.5879,9.5873,1.1205,-0.1208,-0.1787,-0.1126,-0.0186,0.0836,-0.097,78,2019-08-07 16:59:15:051
2.5544,9.6207,1.3845,-0.1208,-0.1787,-0.1126,-0.0143,0.0655,-0.1044,84,2019-08-07 16:59:15:057
2.5544,9.6207,1.3845,-0.1208,-0.1787,-0.1126,-0.0143,0.0655,-0.1044,89,2019-08-07 16:59:15:062
2.5544,9.6207,1.3845,-0.1701,-0.2363,-0.3399,-0.0015,0.0165,-0.1097,94,2019-08-07 16:59:15:067
2.7267,9.5491,1.2478,-0.1701,-0.2363,-0.3399,-0.0015,0.0165,-0.1097,99,2019-08-07 16:59:15:072
2.7267,9.5491,1.2478,-0.1701,-0.2363,-0.3399,0.0155,0.0101,-0.1215,104,2019-08-07 16:59:15:077
2.7267,9.5491,1.2478,-0.1701,-0.2363,-0.3399,0.0155,0.0101,-0.1215,109,2019-08-07 16:59:15:082
2.7697,9.4345,1.3091,-0.3387,0.0123,-0.2681,0.0155,0.0101,-0.1215,114,2019-08-07 16:59:15:087
2.7697,9.4345,1.3091,-0.3387,0.0123,-0.2681,0.0368,0.0548,-0.1279,119,2019-08-07 16:59:15:092
2.7506,9.53,1.3138,-0.3387,0.0123,-0.2681,0.0368,0.0548,-0.1279,123,2019-08-07 16:59:15:096
2.7506,9.53,1.3138,-0.3387,0.0123,-0.2681,0.0464,0.0814,-0.13,129,2019-08-07 16:59:15:102
2.7506,9.53,1.3138,-0.2857,-0.1008,-0.1906,0.0464,0.0814,-0.13,133,2019-08-07 16:59:15:106
2.588,9.6064,1.1535,-0.2857,-0.1008,-0.1906,0.0592,0.0942,-0.1332,139,2019-08-07 16:59:15:112
2.588,9.6064,1.1535,-0.2857,-0.1008,-0.1906,0.0592,0.0942,-0.1332,144,2019-08-07 16:59:15:117
2.3535,9.6637,1.2525,-0.2857,-0.1008,-0.1906,0.0677,0.1017,-0.1374,149,2019-08-07 16:59:15:122
2.3535,9.6637,1.2525,0.0787,-0.1885,-0.239,0.0677,0.1017,-0.1374,154,2019-08-07 16:59:15:127
2.3535,9.6637,1.2525,0.0787,-0.1885,-0.239,0.073,0.0772,-0.1332,159,2019-08-07 16:59:15:132
2.2579,9.7066,1.1488,0.0787,-0.1885,-0.239,0.073,0.0772,-0.1332,164,2019-08-07 16:59:15:137
2.2579,9.7066,1.1488,0.0787,-0.1885,-0.239,0.0709,0.0527,-0.1289,168,2019-08-07 16:59:15:141
2.1957,9.7114,1.1394,0.1751,-0.2855,-0.0837,0.0709,0.0527,-0.1289,174,2019-08-07 16:59:15:147
2.1957,9.7114,1.1394,0.1751,-0.2855,-0.0837,0.072,0.0484,-0.1193,179,2019-08-07 16:59:15:152
2.1957,9.7114,1.1394,0.1751,-0.2855,-0.0837,0.072,0.0484,-0.1193,184,2019-08-07 16:59:15:157
2.1909,9.7257,1.1111,0.1751,-0.2855,-0.0837,0.0666,0.0239,-0.1097,189,2019-08-07 16:59:15:162
2.1909,9.7257,1.1111,0.0976,-0.2734,0.0468,0.0666,0.0239,-0.1097,195,2019-08-07 16:59:15:168
2.3296,9.7544,1.0262,0.0976,-0.2734,0.0468,0.0549,-6.0E-4,-0.1119,199,2019-08-07 16:59:15:172
2.3296,9.7544,1.0262,0.0976,-0.2734,0.0468,0.0549,-6.0E-4,-0.1119,203,2019-08-07 16:59:15:176
2.3296,9.7544,1.0262,0.0976,-0.2734,0.0468,0.0421,-0.0091,-0.1151,209,2019-08-07 16:59:15:182
2.5402,9.721,0.7906,-0.2348,-0.2384,0.2104,0.0421,-0.0091,-0.1151,213,2019-08-07 16:59:15:186
2.5402,9.721,0.7906,-0.2348,-0.2384,0.2104,0.0251,0.0197,-0.1236,219,2019-08-07 16:59:15:192
2.5402,9.721,0.7906,-0.2348,-0.2384,0.2104,0.0251,0.0197,-0.1236,223,2019-08-07 16:59:15:196
2.588,9.7687,0.7198,-0.2348,-0.2384,0.2104,0.0123,0.0729,-0.1353,229,2019-08-07 16:59:15:202
2.588,9.7687,0.7198,-0.2436,-0.2943,0.2145,0.0123,0.0729,-0.1353,233,2019-08-07 16:59:15:206
