ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-5.0365,-7.2788,3.2986,-0.2368,-0.2369,0.1574,-0.0015,-0.0208,-0.0021,4,2019-08-07 16:53:34:370
-4.9648,-7.2597,3.308,-0.2368,-0.2369,0.1574,-0.0015,-0.0208,-0.0021,9,2019-08-07 16:53:34:375
-4.9648,-7.2597,3.308,-0.3488,-0.2766,0.1724,-0.0015,-0.0208,-0.0021,14,2019-08-07 16:53:34:380
-4.9648,-7.2597,3.308,-0.3488,-0.2766,0.1724,0.0027,-0.0347,0.0011,19,2019-08-07 16:53:34:385
-4.8739,-7.1928,3.2421,-0.3999,-0.3149,0.2688,0.0027,-0.0347,0.0011,23,2019-08-07 16:53:34:389
-4.8739,-7.1928,3.2421,-0.3999,-0.3149,0.2688,0.0176,-0.0251,0.0075,29,2019-08-07 16:53:34:395
-4.8739,-7.1928,3.2421,-0.3999,-0.3149,0.2688,0.0176,-0.0251,0.0075,34,2019-08-07 16:53:34:400
-4.9169,-7.126,3.2043,-0.3999,-0.3149,0.2688,0.0187,5.0E-4,0.0149,40,2019-08-07 16:53:34:406
-4.9169,-7.126,3.2043,-0.2752,-0.3183,0.2486,0.0187,5.0E-4,0.0149,44,2019-08-07 16:53:34:410
-4.9983,-7.2024,3.2798,-0.2752,-0.3183,0.2486,0.0187,5.0E-4,0.0149,49,2019-08-07 16:53:34:415
-4.9983,-7.2024,3.2798,-0.2752,-0.3183,0.2486,0.0198,0.0218,0.0149,53,2019-08-07 16:53:34:419
-4.9983,-7.2024,3.2798,-0.2752,-0.3183,0.2486,0.0198,0.0218,0.0149,59,2019-08-07 16:53:34:425
-5.0988,-7.1833,3.2939,-0.1019,-0.3392,0.1974,0.0166,0.0292,0.0128,63,2019-08-07 16:53:34:429
-5.0988,-7.1833,3.2939,-0.1019,-0.3392,0.1974,0.0166,0.0292,0.0128,69,2019-08-07 16:53:34:435
-5.2232,-7.2119,3.2609,-0.1019,-0.3392,0.1974,0.0144,0.0292,0.0106,74,2019-08-07 16:53:34:440
-5.2232,-7.2119,3.2609,-0.1019,-0.3392,0.1974,0.0144,0.0292,0.0106,79,2019-08-07 16:53:34:445
-5.2232,-7.2119,3.2609,-0.0823,-0.3033,0.2199,0.0144,0.0154,0.0085,83,2019-08-07 16:53:34:449
-5.204,-7.2406,3.2939,-0.0823,-0.3033,0.2199,0.0144,0.0154,0.0085,89,2019-08-07 16:53:34:455
-5.204,-7.2406,3.2939,-0.0823,-0.3033,0.2199,0.0102,5.0E-4,0.0053,94,2019-08-07 16:53:34:460
-5.0557,-7.2644,3.3457,-0.0823,-0.3033,0.2199,0.0102,5.0E-4,0.0053,99,2019-08-07 16:53:34:465
