ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1238,9.7395,-2.2487,0.0375,-0.0758,0.4281,0.0528,0.0079,0.0139,3,2019-08-07 17:04:23:747
-0.2003,9.7538,-2.4419,0.0375,-0.0758,0.4281,0.0379,0.0271,0.0085,7,2019-08-07 17:04:23:751
-0.2003,9.7538,-2.4419,0.1168,-0.0926,0.655,0.0379,0.0271,0.0085,13,2019-08-07 17:04:23:757
-0.2147,9.7586,-2.3995,0.1168,-0.0926,0.655,0.0251,0.0399,0.0085,17,2019-08-07 17:04:23:761
-0.2147,9.7586,-2.3995,0.1168,-0.0926,0.655,0.0251,0.0399,0.0085,23,2019-08-07 17:04:23:767
-0.2147,9.7586,-2.3995,0.1168,-0.0926,0.655,0.008,0.0282,0.0085,27,2019-08-07 17:04:23:771
-0.1189,9.6727,-2.2769,0.0139,-0.0368,0.4399,0.008,0.0282,0.0085,33,2019-08-07 17:04:23:777
-0.1189,9.6727,-2.2769,0.0139,-0.0368,0.4399,0.0059,0.0154,0.0075,37,2019-08-07 17:04:23:781
-0.1189,9.6727,-2.2769,0.0139,-0.0368,0.4399,0.0059,0.0154,0.0075,43,2019-08-07 17:04:23:787
-0.0185,9.6583,-2.2958,0.0139,-0.0368,0.4399,0.0059,0.0154,0.0075,48,2019-08-07 17:04:23:792
-0.0185,9.6583,-2.2958,-0.0175,-0.0375,0.5819,-0.0048,0.0186,0.0021,53,2019-08-07 17:04:23:797
-0.0567,9.6918,-2.522,-0.0175,-0.0375,0.5819,-0.0048,0.0186,0.0021,58,2019-08-07 17:04:23:802
-0.0567,9.6918,-2.522,-0.0175,-0.0375,0.5819,-0.0186,0.0218,-0.0021,63,2019-08-07 17:04:23:807
-0.1332,9.6058,-2.4089,-0.0175,-0.0375,0.5819,-0.0186,0.0218,-0.0021,68,2019-08-07 17:04:23:812
-0.1332,9.6058,-2.4089,0.074,0.0148,0.6139,-0.0367,0.0218,0.0021,73,2019-08-07 17:04:23:817
-0.1332,9.6058,-2.4089,0.074,0.0148,0.6139,-0.0367,0.0218,0.0021,78,2019-08-07 17:04:23:822
-0.2193,9.5963,-2.456,0.074,0.0148,0.6139,-0.0495,0.0154,0.0085,82,2019-08-07 17:04:23:826
-0.2193,9.5963,-2.456,0.074,0.0148,0.6139,-0.0495,0.0154,0.0085,88,2019-08-07 17:04:23:832
-0.2193,9.5963,-2.456,0.3187,0.0348,0.8258,-0.0495,0.0154,0.0085,93,2019-08-07 17:04:23:837
-0.4872,9.6154,-2.654,0.3187,0.0348,0.8258,-0.0729,-0.0017,0.0203,97,2019-08-07 17:04:23:841
-0.4872,9.6154,-2.654,0.3187,0.0348,0.8258,-0.0729,-0.0017,0.0203,103,2019-08-07 17:04:23:847
-0.4824,9.5533,-2.2722,0.3187,0.0348,0.8258,-0.0921,0.0026,0.0384,107,2019-08-07 17:04:23:851
-0.4824,9.5533,-2.2722,0.3405,0.0419,0.3524,-0.0921,0.0026,0.0384,113,2019-08-07 17:04:23:857
-0.4824,9.5533,-2.2722,0.3405,0.0419,0.3524,-0.0953,-0.0219,0.049,118,2019-08-07 17:04:23:862
-0.2863,9.6488,-2.2156,0.3405,0.0419,0.3524,-0.0953,-0.0219,0.049,122,2019-08-07 17:04:23:866
-0.2863,9.6488,-2.2156,0.3405,0.0419,0.3524,-0.0953,-0.0613,0.0565,128,2019-08-07 17:04:23:872
-0.0279,9.6583,-2.1873,-0.0633,-0.0172,0.3773,-0.0953,-0.0613,0.0565,132,2019-08-07 17:04:23:876
-0.0279,9.6583,-2.1873,-0.0633,-0.0172,0.3773,-0.0953,-0.0613,0.0565,138,2019-08-07 17:04:23:882
-0.0279,9.6583,-2.1873,-0.0633,-0.0172,0.3773,-0.0932,-0.0326,0.0469,142,2019-08-07 17:04:23:886
0.0276,9.6681,-2.0133,-0.1141,-0.0254,0.2114,-0.0932,-0.0326,0.0469,148,2019-08-07 17:04:23:892
0.0276,9.6681,-2.0133,-0.1141,-0.0254,0.2114,-0.0857,-0.0336,0.0394,152,2019-08-07 17:04:23:896
-0.0203,9.7588,-2.1312,-0.1141,-0.0254,0.2114,-0.0857,-0.0336,0.0394,158,2019-08-07 17:04:23:902
-0.0203,9.7588,-2.1312,0.0272,-0.1276,0.3723,-0.0804,-0.0294,0.0309,163,2019-08-07 17:04:23:907
-0.0203,9.7588,-2.1312,0.0272,-0.1276,0.3723,-0.0804,-0.0294,0.0309,167,2019-08-07 17:04:23:911
-0.1351,9.6872,-2.1265,0.0272,-0.1276,0.3723,-0.0878,-0.007,0.0224,173,2019-08-07 17:04:23:917
-0.1351,9.6872,-2.1265,0.0272,-0.1276,0.3723,-0.0878,-0.007,0.0224,177,2019-08-07 17:04:23:921
-0.1303,9.6585,-2.0039,0.055,-0.0104,0.2309,-0.0793,-0.0112,0.0266,183,2019-08-07 17:04:23:927
-0.1303,9.6585,-2.0039,0.055,-0.0104,0.2309,-0.0793,-0.0112,0.0266,187,2019-08-07 17:04:23:931
-0.1303,9.6585,-2.0039,0.055,-0.0104,0.2309,-0.074,-0.0421,0.0266,193,2019-08-07 17:04:23:937
-0.1782,9.6537,-2.2537,0.055,-0.0104,0.2309,-0.074,-0.0421,0.0266,198,2019-08-07 17:04:23:942
-0.1782,9.6537,-2.2537,0.154,-0.0034,0.4783,-0.074,-0.0421,0.0266,202,2019-08-07 17:04:23:946
-0.1782,9.6537,-2.2537,0.154,-0.0034,0.4783,-0.0814,-0.0283,0.0266,208,2019-08-07 17:04:23:952
-0.1782,9.6346,-2.1595,0.154,-0.0034,0.4783,-0.0814,-0.0283,0.0266,213,2019-08-07 17:04:23:957
-0.1782,9.6346,-2.1595,0.154,-0.0034,0.4783,-0.0814,-0.024,0.0245,218,2019-08-07 17:04:23:962
-0.0299,9.6967,-2.0322,-0.0385,-0.0439,0.2841,-0.0814,-0.024,0.0245,223,2019-08-07 17:04:23:967
-0.0299,9.6967,-2.0322,-0.0385,-0.0439,0.2841,-0.0719,-0.0475,0.0213,227,2019-08-07 17:04:23:971
-0.0299,9.6967,-2.0322,-0.0385,-0.0439,0.2841,-0.0719,-0.0475,0.0213,233,2019-08-07 17:04:23:977
0.0419,9.6776,-2.0181,-0.0385,-0.0439,0.2841,-0.0623,-0.0325,0.0107,238,2019-08-07 17:04:23:982
0.0419,9.6776,-2.0181,-0.0385,-0.0439,0.2841,-0.0623,-0.0325,0.0107,243,2019-08-07 17:04:23:987
0.0419,9.6776,-2.0181,-0.0462,-0.0418,0.1501,-0.0623,-0.0325,0.0107,248,2019-08-07 17:04:23:992
-0.0107,9.7683,-1.7352,-0.0462,-0.0418,0.1501,-0.0516,-0.0123,0.0043,252,2019-08-07 17:04:23:996
-0.0107,9.7683,-1.7352,-0.0462,-0.0418,0.1501,-0.0516,-0.0123,0.0043,258,2019-08-07 17:04:24:002
-0.1447,9.6299,-1.9285,-0.0462,-0.0418,0.1501,-0.0346,-0.0251,-0.0011,263,2019-08-07 17:04:24:007
-0.1447,9.6299,-1.9285,0.0971,-0.0119,0.2464,-0.0346,-0.0251,-0.0011,267,2019-08-07 17:04:24:011
-0.1447,9.6299,-1.9285,0.0971,-0.0119,0.2464,-0.0207,-0.0187,0.0,273,2019-08-07 17:04:24:017
-0.2882,9.6967,-2.0275,0.0971,-0.0119,0.2464,-0.0207,-0.0187,0.0,278,2019-08-07 17:04:24:022
-0.2882,9.6967,-2.0275,0.0971,-0.0119,0.2464,-0.0239,-0.0134,0.0043,282,2019-08-07 17:04:24:026
-0.2882,9.6967,-2.0275,0.2719,-0.0592,0.1972,-0.0239,-0.0134,0.0043,288,2019-08-07 17:04:24:032
-0.3552,9.6585,-1.9285,0.2719,-0.0592,0.1972,-0.009,-0.0283,0.0075,294,2019-08-07 17:04:24:038
-0.3552,9.6585,-1.9285,0.2719,-0.0592,0.1972,-0.009,-0.0283,0.0075,298,2019-08-07 17:04:24:042
-0.1543,9.7158,-1.9379,0.2719,-0.0592,0.1972,-0.009,-0.0283,0.0075,302,2019-08-07 17:04:24:046
-0.1543,9.7158,-1.9379,0.0701,-0.1307,0.1695,0.0048,-0.0336,0.0139,308,2019-08-07 17:04:24:052
-0.1543,9.7158,-1.9379,0.0701,-0.1307,0.1695,0.0048,-0.0336,0.0139,312,2019-08-07 17:04:24:056
-0.1256,9.797,-1.8814,0.0567,-0.1404,0.1543,0.0123,-0.0155,0.0203,318,2019-08-07 17:04:24:062
-0.1256,9.797,-1.8814,0.0567,-0.1404,0.1543,0.0123,-0.0155,0.0203,322,2019-08-07 17:04:24:066
-0.2452,9.8161,-1.7824,0.0567,-0.1404,0.1543,0.0261,-0.0166,0.0203,328,2019-08-07 17:04:24:072
-0.2452,9.8161,-1.7824,0.0567,-0.1404,0.1543,0.0261,-0.0166,0.0203,333,2019-08-07 17:04:24:077
-0.2452,9.8161,-1.7824,0.1691,-0.0888,0.0503,0.0261,-0.0166,0.0203,338,2019-08-07 17:04:24:082
-0.1639,9.797,-1.7965,0.1691,-0.0888,0.0503,0.0453,-0.0144,0.0245,344,2019-08-07 17:04:24:088
-0.1639,9.797,-1.7965,0.1691,-0.0888,0.0503,0.0453,-0.0144,0.0245,348,2019-08-07 17:04:24:092
-0.0682,9.6967,-1.8861,0.1691,-0.0888,0.0503,0.0645,-0.0219,0.0234,352,2019-08-07 17:04:24:096
