ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-6.5445,-6.9173,0.6334,-0.209,-0.2418,0.0162,0.0091,0.042,-0.017,4,2019-08-07 16:45:21:672
-6.5445,-6.9173,0.6334,-0.209,-0.2418,0.0162,0.0091,0.042,-0.017,9,2019-08-07 16:45:21:677
-6.6354,-6.8982,0.6146,-0.0402,-0.2148,0.0358,0.0101,0.0175,-0.0212,14,2019-08-07 16:45:21:682
-6.6354,-6.8982,0.6146,-0.0402,-0.2148,0.0358,0.0101,0.0175,-0.0212,19,2019-08-07 16:45:21:687
-6.5158,-6.9316,0.6759,-0.0402,-0.2148,0.0358,0.0123,-0.0304,-0.0223,24,2019-08-07 16:45:21:692
-6.5158,-6.9316,0.6759,-0.0402,-0.2148,0.0358,0.0123,-0.0304,-0.0223,29,2019-08-07 16:45:21:697
-6.5158,-6.9316,0.6759,-0.2952,-0.2032,-0.059,0.0101,-0.0571,-0.0223,35,2019-08-07 16:45:21:703
-6.2909,-6.9077,0.6523,-0.2952,-0.2032,-0.059,0.0101,-0.0571,-0.0223,39,2019-08-07 16:45:21:707
-6.2909,-6.9077,0.6523,-0.2952,-0.2032,-0.059,0.0101,-0.0571,-0.0223,44,2019-08-07 16:45:21:712
-6.1905,-6.8361,0.6004,-0.4919,-0.3161,0.0532,0.0091,-0.0411,-0.0138,49,2019-08-07 16:45:21:717
-6.1905,-6.8361,0.6004,-0.4919,-0.3161,0.0532,0.0091,-0.0411,-0.0138,54,2019-08-07 16:45:21:722
-6.1905,-6.8361,0.6004,-0.4919,-0.3161,0.0532,0.008,-0.0134,-0.0095,59,2019-08-07 16:45:21:727
-6.2431,-6.922,0.6806,-0.4919,-0.3161,0.0532,0.0101,-0.0027,0.0022,64,2019-08-07 16:45:21:732
-6.2431,-6.922,0.6806,-0.4999,-0.3269,-0.0288,0.0101,-0.0027,0.0022,69,2019-08-07 16:45:21:737
-6.2431,-6.922,0.6806,-0.4999,-0.3269,-0.0288,0.0101,-0.0027,0.0022,74,2019-08-07 16:45:21:742
-6.2048,-6.8218,0.7136,-0.4999,-0.3269,-0.0288,0.0101,0.0068,0.015,79,2019-08-07 16:45:21:747
-6.2048,-6.8218,0.7136,-0.4999,-0.3269,-0.0288,0.0101,0.0068,0.015,83,2019-08-07 16:45:21:751
-6.2814,-6.7932,0.5533,-0.4999,-0.3269,-0.0288,0.0059,0.0271,0.0225,89,2019-08-07 16:45:21:757
-6.2814,-6.7932,0.5533,-0.3585,-0.368,0.0738,6.0E-4,0.042,0.0267,94,2019-08-07 16:45:21:762
-6.4536,-6.755,0.6429,-0.3585,-0.368,0.0738,6.0E-4,0.042,0.0267,99,2019-08-07 16:45:21:767
-6.4536,-6.755,0.6429,-0.3585,-0.368,0.0738,6.0E-4,0.042,0.0267,104,2019-08-07 16:45:21:772
-6.4536,-6.755,0.6429,-0.3585,-0.368,0.0738,-0.0016,0.026,0.031,108,2019-08-07 16:45:21:776
-6.4727,-6.8122,0.6476,-0.2152,-0.3351,0.0035,-0.0016,0.026,0.031,114,2019-08-07 16:45:21:782
-6.4727,-6.8122,0.6476,-0.2152,-0.3351,0.0035,-0.0058,0.0207,0.0225,119,2019-08-07 16:45:21:787
-6.4823,-6.8839,0.5392,-0.2152,-0.3351,0.0035,-0.0058,0.0207,0.0225,124,2019-08-07 16:45:21:792
-6.4823,-6.8839,0.5392,-0.2152,-0.3351,0.0035,-0.009,0.0281,0.0118,129,2019-08-07 16:45:21:797
-6.4823,-6.8839,0.5392,-0.1182,-0.2988,0.0833,-0.009,0.0281,0.0118,134,2019-08-07 16:45:21:802
-6.6019,-6.8982,0.5344,-0.1182,-0.2988,0.0833,-0.0037,0.0377,0.0011,139,2019-08-07 16:45:21:807
-6.6019,-6.8982,0.5344,-0.1182,-0.2988,0.0833,-0.0037,0.0377,0.0011,144,2019-08-07 16:45:21:812
-6.6162,-6.9077,0.6523,-0.1182,-0.2988,0.0833,-0.0026,0.0271,-0.0042,148,2019-08-07 16:45:21:816
-6.6162,-6.9077,0.6523,-0.0957,-0.2598,-0.0119,-0.0026,0.0271,-0.0042,154,2019-08-07 16:45:21:822
-6.6162,-6.9077,0.6523,-0.0957,-0.2598,-0.0119,-0.0026,0.0271,-0.0042,159,2019-08-07 16:45:21:827
-6.5588,-6.8982,0.6287,-0.0957,-0.2598,-0.0119,-5.0E-4,0.0132,-0.0095,164,2019-08-07 16:45:21:832
-6.5588,-6.8982,0.6287,-0.0957,-0.2598,-0.0119,-5.0E-4,0.0132,-0.0095,169,2019-08-07 16:45:21:837
-6.4823,-6.8552,0.6193,-0.1953,-0.2321,0.0247,-5.0E-4,-0.0059,-0.0116,174,2019-08-07 16:45:21:842
-6.4823,-6.8552,0.6193,-0.1953,-0.2321,0.0247,-5.0E-4,-0.0059,-0.0116,178,2019-08-07 16:45:21:846
-6.4823,-6.8552,0.6193,-0.1953,-0.2321,0.0247,0.0059,-0.0145,-0.0095,184,2019-08-07 16:45:21:852
-6.4153,-6.9173,0.723,-0.1953,-0.2321,0.0247,0.0059,-0.0145,-0.0095,188,2019-08-07 16:45:21:856
-6.4153,-6.9173,0.723,-0.3373,-0.281,-0.0807,0.0038,-0.0326,1.0E-4,194,2019-08-07 16:45:21:862
-6.2861,-6.8457,0.7277,-0.3373,-0.281,-0.0807,0.0038,-0.0326,1.0E-4,199,2019-08-07 16:45:21:867
-6.2861,-6.8457,0.7277,-0.3373,-0.281,-0.0807,0.0048,-0.0368,0.0065,204,2019-08-07 16:45:21:872
-6.2861,-6.8457,0.7277,-0.3373,-0.281,-0.0807,0.0048,-0.0368,0.0065,209,2019-08-07 16:45:21:877
-6.2622,-6.8743,0.6099,-0.4283,-0.2709,0.0383,6.0E-4,-0.0251,0.0182,213,2019-08-07 16:45:21:881
-6.2622,-6.8743,0.6099,-0.4283,-0.2709,0.0383,6.0E-4,-0.0251,0.0182,219,2019-08-07 16:45:21:887
-6.2622,-6.8504,0.6759,-0.4283,-0.2709,0.0383,6.0E-4,-0.0027,0.0203,224,2019-08-07 16:45:21:892
-6.2622,-6.8504,0.6759,-0.4283,-0.2709,0.0383,6.0E-4,-0.0027,0.0203,229,2019-08-07 16:45:21:897
-6.2622,-6.8504,0.6759,-0.3684,-0.2543,0.0159,0.0027,0.0122,0.0256,234,2019-08-07 16:45:21:902
-6.3196,-6.9364,0.6853,-0.3684,-0.2543,0.0159,0.0027,0.0122,0.0256,239,2019-08-07 16:45:21:907
-6.3196,-6.9364,0.6853,-0.3684,-0.2543,0.0159,0.008,0.0335,0.0278,244,2019-08-07 16:45:21:912
-6.3196,-6.9364,0.6853,-0.3684,-0.2543,0.0159,0.008,0.0335,0.0278,249,2019-08-07 16:45:21:917
-6.4296,-6.8409,0.5439,-0.2146,-0.3415,0.0549,6.0E-4,0.0463,0.0235,254,2019-08-07 16:45:21:922
-6.4296,-6.8409,0.5439,-0.2146,-0.3415,0.0549,6.0E-4,0.0463,0.0235,259,2019-08-07 16:45:21:927
