ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.2176,-8.3969,2.9097,-0.315,-0.1828,-0.1343,0.008,-0.0219,-0.0106,4,2019-08-07 16:23:36:342
4.2176,-8.3969,2.9097,-0.315,-0.1828,-0.1343,0.008,-0.0219,-0.0106,8,2019-08-07 16:23:36:346
4.2176,-8.3969,2.9097,-0.315,-0.1828,-0.1343,0.0123,-0.0123,-0.0085,14,2019-08-07 16:23:36:352
4.2463,-8.3062,2.8861,-0.3437,-0.2182,-0.1419,0.0123,-0.0123,-0.0085,19,2019-08-07 16:23:36:357
4.2463,-8.3062,2.8861,-0.3437,-0.2182,-0.1419,0.0102,-0.0219,-0.0042,24,2019-08-07 16:23:36:362
4.2511,-8.3349,2.8955,-0.3437,-0.2182,-0.1419,0.0102,-0.0219,-0.0042,29,2019-08-07 16:23:36:367
4.2511,-8.3349,2.8955,-0.3437,-0.2182,-0.1419,0.0059,-0.0347,0.0075,34,2019-08-07 16:23:36:372
4.2511,-8.3349,2.8955,-0.3971,-0.2258,-0.1509,0.0059,-0.0347,0.0075,39,2019-08-07 16:23:36:377
4.3515,-8.3301,2.9238,-0.3971,-0.2258,-0.1509,0.0059,-0.0315,0.0086,43,2019-08-07 16:23:36:381
4.3515,-8.3301,2.9238,-0.3971,-0.2258,-0.1509,0.0059,-0.0315,0.0086,49,2019-08-07 16:23:36:387
4.3515,-8.3301,2.9238,-0.4434,-0.2442,-0.1511,0.0027,-0.0081,0.0075,53,2019-08-07 16:23:36:391
4.385,-8.3301,2.839,-0.4434,-0.2442,-0.1511,0.0027,-0.0081,0.0075,59,2019-08-07 16:23:36:397
4.385,-8.3301,2.839,-0.4708,-0.253,-0.1458,-0.0016,0.01,0.0065,63,2019-08-07 16:23:36:401
4.2941,-8.2632,2.8343,-0.4708,-0.253,-0.1458,-0.0016,0.01,0.0065,69,2019-08-07 16:23:36:407
4.2941,-8.2632,2.8343,-0.4708,-0.253,-0.1458,-5.0E-4,0.0271,0.0075,73,2019-08-07 16:23:36:411
4.2941,-8.2632,2.8343,-0.4708,-0.253,-0.1458,-5.0E-4,0.0271,0.0075,79,2019-08-07 16:23:36:417
4.2702,-8.311,2.8908,-0.3366,-0.2425,-0.1338,-0.0048,0.0324,0.0075,83,2019-08-07 16:23:36:421
4.2702,-8.311,2.8908,-0.3366,-0.2425,-0.1338,-0.0048,0.0324,0.0075,89,2019-08-07 16:23:36:427
4.2702,-8.311,2.8908,-0.3366,-0.2425,-0.1338,-0.0048,0.0324,0.0075,94,2019-08-07 16:23:36:432
4.1937,-8.3492,2.9144,-0.3366,-0.2425,-0.1338,-0.0122,0.025,0.0022,98,2019-08-07 16:23:36:436
4.1937,-8.3492,2.9144,-0.2312,-0.1846,-0.1323,-0.0122,0.025,0.0022,104,2019-08-07 16:23:36:442
4.2032,-8.3826,2.8861,-0.2312,-0.1846,-0.1323,-0.0218,0.009,-0.0085,108,2019-08-07 16:23:36:446
4.2032,-8.3826,2.8861,-0.2539,-0.1796,-0.1568,-0.0218,0.009,-0.0085,114,2019-08-07 16:23:36:452
4.2032,-8.3826,2.8861,-0.2539,-0.1796,-0.1568,-0.0207,0.0026,-0.0117,119,2019-08-07 16:23:36:457
4.1889,-8.3683,2.8248,-0.2539,-0.1796,-0.1568,-0.0207,0.0026,-0.0117,124,2019-08-07 16:23:36:462
4.1889,-8.3683,2.8248,-0.2539,-0.1796,-0.1568,-0.0122,-0.0027,-0.0127,129,2019-08-07 16:23:36:467
4.1841,-8.3874,2.8343,-0.2449,-0.164,-0.022,-0.0122,-0.0027,-0.0127,133,2019-08-07 16:23:36:471
