ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-5.4055,-6.902,3.6012,-0.0531,-0.3582,0.104,-0.0282,-0.0059,0.0203,3,2019-08-07 16:52:05:144
-5.4055,-6.902,3.6012,-0.0531,-0.3582,0.104,-0.0282,-0.0059,0.0203,7,2019-08-07 16:52:05:148
-5.3864,-6.9307,3.6766,-0.0531,-0.3582,0.104,-0.0271,-0.0688,0.0267,13,2019-08-07 16:52:05:154
-5.3864,-6.9307,3.6766,-0.1502,-0.3233,0.0672,-0.0271,-0.0688,0.0267,18,2019-08-07 16:52:05:159
-5.2668,-6.9211,3.6389,-0.1502,-0.3233,0.0672,-0.0229,-0.1018,0.0352,23,2019-08-07 16:52:05:164
-5.2668,-6.9211,3.6389,-0.1502,-0.3233,0.0672,-0.0229,-0.1018,0.0352,28,2019-08-07 16:52:05:169
-5.128,-6.9068,3.5682,-0.1502,-0.3233,0.0672,-0.0261,-0.1061,0.0426,33,2019-08-07 16:52:05:174
-5.128,-6.9068,3.5682,-0.3824,-0.3209,0.1505,-0.0261,-0.1061,0.0426,38,2019-08-07 16:52:05:179
-5.128,-6.9068,3.5682,-0.3824,-0.3209,0.1505,-0.0271,-0.0858,0.0448,43,2019-08-07 16:52:05:184
-5.0323,-6.9498,3.5163,-0.3824,-0.3209,0.1505,-0.0271,-0.0858,0.0448,48,2019-08-07 16:52:05:189
-5.0323,-6.9498,3.5163,-0.3824,-0.3209,0.1505,-0.0271,-0.0858,0.0448,53,2019-08-07 16:52:05:194
-5.0323,-6.9832,3.4362,-0.4259,-0.271,0.2814,-0.0218,-0.0294,0.0458,57,2019-08-07 16:52:05:198
-5.0323,-6.9832,3.4362,-0.4259,-0.271,0.2814,-0.0218,-0.0294,0.0458,63,2019-08-07 16:52:05:204
-5.0323,-6.9832,3.4362,-0.4259,-0.271,0.2814,-0.025,0.0207,0.0437,67,2019-08-07 16:52:05:208
-5.1376,-7.0023,3.5022,-0.4259,-0.271,0.2814,-0.025,0.0207,0.0437,73,2019-08-07 16:52:05:214
-5.1376,-7.0023,3.5022,-0.2134,-0.2302,0.1716,-0.0207,0.0527,0.0405,78,2019-08-07 16:52:05:219
-5.2524,-6.9689,3.6012,-0.2134,-0.2302,0.1716,-0.0207,0.0527,0.0405,83,2019-08-07 16:52:05:224
-5.2524,-6.9689,3.6012,-0.2134,-0.2302,0.1716,-0.0175,0.0559,0.0426,88,2019-08-07 16:52:05:229
-5.2524,-6.9689,3.6012,-0.2134,-0.2302,0.1716,-0.0175,0.0559,0.0426,93,2019-08-07 16:52:05:234
-5.3672,-6.988,3.6012,-0.0513,-0.2936,0.0597,-0.0143,0.0346,0.0352,97,2019-08-07 16:52:05:238
-5.3672,-6.988,3.6012,-0.0513,-0.2936,0.0597,-0.0143,0.0346,0.0352,103,2019-08-07 16:52:05:244
-5.3672,-6.988,3.6012,-0.0513,-0.2936,0.0597,-0.0143,0.0346,0.0352,107,2019-08-07 16:52:05:248
-5.4438,-6.9784,3.6955,-0.0513,-0.2936,0.0597,-0.0154,-0.0038,0.0362,113,2019-08-07 16:52:05:254
-5.4438,-6.9784,3.6955,-0.0669,-0.3042,-0.0174,-0.0154,-0.0038,0.0362,118,2019-08-07 16:52:05:259
-5.4007,-6.9784,3.6625,-0.0669,-0.3042,-0.0174,-0.0175,-0.0656,0.0384,123,2019-08-07 16:52:05:264
-5.4007,-6.9784,3.6625,-0.0669,-0.3042,-0.0174,-0.0175,-0.0656,0.0384,128,2019-08-07 16:52:05:269
-5.4007,-6.9784,3.6625,-0.0669,-0.3042,-0.0174,-0.0218,-0.1018,0.0394,133,2019-08-07 16:52:05:274
-5.2428,-7.0071,3.62,-0.2481,-0.2484,0.1221,-0.0218,-0.1018,0.0394,138,2019-08-07 16:52:05:279
-5.2428,-7.0071,3.62,-0.2481,-0.2484,0.1221,-0.0165,-0.1146,0.0426,143,2019-08-07 16:52:05:284
-5.1424,-6.988,3.5399,-0.2481,-0.2484,0.1221,-0.0165,-0.1146,0.0426,149,2019-08-07 16:52:05:290
-5.1424,-6.988,3.5399,-0.2481,-0.2484,0.1221,-0.0186,-0.0826,0.0469,153,2019-08-07 16:52:05:294
-5.1424,-6.988,3.5399,-0.4568,-0.1835,0.2245,-0.0186,-0.0826,0.0469,159,2019-08-07 16:52:05:300
-5.0419,-7.0262,3.4409,-0.4568,-0.1835,0.2245,-0.0186,-0.0826,0.0469,163,2019-08-07 16:52:05:304
-5.0419,-7.0262,3.4409,-0.4568,-0.1835,0.2245,-0.0175,-0.0411,0.0437,167,2019-08-07 16:52:05:308
-5.0419,-7.0262,3.4409,-0.4568,-0.1835,0.2245,-0.0175,-0.0411,0.0437,173,2019-08-07 16:52:05:314
-5.0467,-7.0214,3.4409,-0.3885,-0.2243,0.2661,-0.0197,0.0037,0.0426,178,2019-08-07 16:52:05:319
-5.0467,-7.0214,3.4409,-0.3885,-0.2243,0.2661,-0.0197,0.0037,0.0426,182,2019-08-07 16:52:05:323
-5.1328,-7.0596,3.4504,-0.3885,-0.2243,0.2661,-0.0133,0.0484,0.0384,188,2019-08-07 16:52:05:329
-5.1328,-7.0596,3.4504,-0.3885,-0.2243,0.2661,-0.0133,0.0484,0.0384,193,2019-08-07 16:52:05:334
-5.1328,-7.0596,3.4504,-0.3885,-0.2243,0.2661,-0.009,0.0601,0.032,198,2019-08-07 16:52:05:339
-5.2141,-7.0453,3.5965,-0.277,-0.1887,0.1122,-0.009,0.0601,0.032,203,2019-08-07 16:52:05:344
