ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-6.2059,-6.8532,1.209,-0.3269,-0.3429,0.123,-0.0239,0.0303,0.0234,2,2019-08-07 16:48:36:910
-6.2059,-6.8532,1.209,-0.3269,-0.3429,0.123,-0.025,0.0452,0.0213,8,2019-08-07 16:48:36:916
-6.4021,-6.8866,1.3457,-0.126,-0.345,-0.0133,-0.025,0.0452,0.0213,13,2019-08-07 16:48:36:921
-6.4021,-6.8866,1.3457,-0.126,-0.345,-0.0133,-0.0207,0.0261,0.0213,17,2019-08-07 16:48:36:925
-6.4261,-6.9248,1.3127,-0.126,-0.345,-0.0133,-0.0207,0.0261,0.0213,23,2019-08-07 16:48:36:931
-6.4261,-6.9248,1.3127,-0.126,-0.345,-0.0133,-0.0164,0.008,0.0213,28,2019-08-07 16:48:36:936
-6.4261,-6.9248,1.3127,-0.1157,-0.2562,0.0289,-0.0164,0.008,0.0213,33,2019-08-07 16:48:36:941
-6.4118,-6.9773,1.3221,-0.1157,-0.2562,0.0289,-0.0132,-0.0176,0.0213,37,2019-08-07 16:48:36:945
-6.4118,-6.9773,1.3221,-0.1554,-0.2405,0.0149,-0.0132,-0.0176,0.0213,43,2019-08-07 16:48:36:951
-6.4118,-6.9773,1.3221,-0.1554,-0.2405,0.0149,-0.01,-0.0496,0.0308,47,2019-08-07 16:48:36:955
-6.3544,-6.9773,1.3268,-0.1554,-0.2405,0.0149,-0.01,-0.0496,0.0308,53,2019-08-07 16:48:36:961
-6.3544,-6.9773,1.3268,-0.1554,-0.2405,0.0149,-0.0058,-0.0773,0.0308,57,2019-08-07 16:48:36:965
-6.2731,-6.9678,1.3315,-0.2727,-0.2178,-0.0065,-0.0058,-0.0773,0.0308,63,2019-08-07 16:48:36:971
-6.2731,-6.9678,1.3315,-0.2727,-0.2178,-0.0065,-0.0058,-0.089,0.0362,67,2019-08-07 16:48:36:975
-6.2731,-6.9678,1.3315,-0.2727,-0.2178,-0.0065,-0.0058,-0.089,0.0362,73,2019-08-07 16:48:36:981
-6.1258,-6.9204,1.1673,-0.2727,-0.2178,-0.0065,-0.0101,-0.0805,0.0373,77,2019-08-07 16:48:36:985
-6.1258,-6.9204,1.1673,-0.4656,-0.3375,0.2052,-0.0101,-0.0805,0.0373,83,2019-08-07 16:48:36:991
-6.1258,-6.9204,1.1673,-0.4656,-0.3375,0.2052,-0.0143,-0.0485,0.0373,88,2019-08-07 16:48:36:996
-6.0779,-6.8536,1.0872,-0.4656,-0.3375,0.2052,-0.0143,-0.0485,0.0373,93,2019-08-07 16:48:37:001
-6.0779,-6.8536,1.0872,-0.4656,-0.3375,0.2052,-0.0143,-0.008,0.033,98,2019-08-07 16:48:37:006
-6.1353,-6.844,1.0353,-0.4166,-0.334,0.3005,-0.0143,-0.008,0.033,103,2019-08-07 16:48:37:011
-6.1353,-6.844,1.0353,-0.4166,-0.334,0.3005,-0.0133,0.041,0.0255,108,2019-08-07 16:48:37:016
-6.1353,-6.844,1.0353,-0.4166,-0.334,0.3005,-0.0133,0.041,0.0255,113,2019-08-07 16:48:37:021
-6.2597,-6.8393,1.0966,-0.4166,-0.334,0.3005,-0.0143,0.0729,0.0202,118,2019-08-07 16:48:37:026
-6.2597,-6.8393,1.0966,-0.1823,-0.3123,0.1679,-0.0143,0.0729,0.0202,122,2019-08-07 16:48:37:030
