ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-6.2771,-5.8336,3.8151,-0.1799,-0.265,0.2055,0.0208,0.0196,0.0033,3,2019-08-07 16:32:08:291
-6.2771,-5.8336,3.8151,-0.2591,-0.3341,0.172,0.0208,-0.0017,0.0054,8,2019-08-07 16:32:08:296
-6.2771,-5.8336,3.8151,-0.2591,-0.3341,0.172,0.0208,-0.0017,0.0054,13,2019-08-07 16:32:08:301
-6.2005,-5.8956,3.8293,-0.2591,-0.3341,0.172,0.0197,-0.0155,0.0086,18,2019-08-07 16:32:08:306
-6.2005,-5.8956,3.8293,-0.2591,-0.3341,0.172,0.0197,-0.0155,0.0086,23,2019-08-07 16:32:08:311
-6.2005,-5.8956,3.8293,-0.3023,-0.2791,0.2039,0.0187,-0.0166,0.0139,27,2019-08-07 16:32:08:315
-6.1957,-5.8192,3.8811,-0.3023,-0.2791,0.2039,0.0187,-0.0166,0.0139,33,2019-08-07 16:32:08:321
-6.1957,-5.8192,3.8811,-0.3023,-0.2791,0.2039,0.0187,-0.0166,0.0139,38,2019-08-07 16:32:08:326
-6.1862,-5.7715,3.7774,-0.3023,-0.2791,0.2039,0.0165,-0.0113,0.0171,43,2019-08-07 16:32:08:331
-6.1862,-5.7715,3.7774,-0.3321,-0.309,0.2076,0.0165,-0.0113,0.0171,48,2019-08-07 16:32:08:336
-6.2292,-5.7285,3.7822,-0.3321,-0.309,0.2076,0.0133,0.0079,0.0161,54,2019-08-07 16:32:08:342
-6.2292,-5.7285,3.7822,-0.3321,-0.309,0.2076,0.0133,0.0079,0.0161,57,2019-08-07 16:32:08:345
-6.2292,-5.7285,3.7822,-0.3321,-0.309,0.2076,0.008,0.0292,0.0118,63,2019-08-07 16:32:08:351
-6.3296,-5.7285,3.8293,-0.188,-0.3869,0.2151,0.008,0.0292,0.0118,68,2019-08-07 16:32:08:356
-6.3296,-5.7285,3.8293,-0.188,-0.3869,0.2151,0.0038,0.0516,0.0097,73,2019-08-07 16:32:08:361
-6.3296,-5.7285,3.8293,-0.188,-0.3869,0.2151,0.0038,0.0516,0.0097,77,2019-08-07 16:32:08:365
-6.3727,-5.7667,3.9424,-0.188,-0.3869,0.2151,0.007,0.058,0.0022,83,2019-08-07 16:32:08:371
-6.3727,-5.7667,3.9424,-0.1177,-0.3894,0.2084,0.007,0.058,0.0022,88,2019-08-07 16:32:08:376
-6.3918,-5.7095,3.8529,-0.1177,-0.3894,0.2084,0.007,0.0633,-0.001,93,2019-08-07 16:32:08:381
-6.3918,-5.7095,3.8529,-0.1177,-0.3894,0.2084,0.007,0.0633,-0.001,97,2019-08-07 16:32:08:385
-6.3918,-5.7095,3.8529,-0.1177,-0.3894,0.2084,0.0016,0.0569,-0.0084,103,2019-08-07 16:32:08:391
-6.3535,-5.7333,3.9047,-0.1612,-0.3553,0.1729,0.0016,0.0569,-0.0084,108,2019-08-07 16:32:08:396
-6.3535,-5.7333,3.9047,-0.1612,-0.3553,0.1729,0.0048,0.0473,-0.0095,113,2019-08-07 16:32:08:401
-6.3344,-5.7811,3.9,-0.1612,-0.3553,0.1729,0.0048,0.0473,-0.0095,118,2019-08-07 16:32:08:406
-6.3344,-5.7811,3.9,-0.1612,-0.3553,0.1729,0.0133,0.0196,-0.0042,123,2019-08-07 16:32:08:411
-6.3344,-5.7811,3.9,-0.2496,-0.2928,0.0992,0.0133,0.0196,-0.0042,128,2019-08-07 16:32:08:416
-6.2674,-5.7858,3.9377,-0.2496,-0.2928,0.0992,0.0155,-0.0038,0.0033,134,2019-08-07 16:32:08:422
-6.2674,-5.7858,3.9377,-0.2496,-0.2928,0.0992,0.0155,-0.0038,0.0033,137,2019-08-07 16:32:08:425
-6.1765,-5.7763,3.8953,-0.2496,-0.2928,0.0992,0.0155,-0.0038,0.0033,143,2019-08-07 16:32:08:431
-6.1765,-5.7763,3.8953,-0.3738,-0.3428,0.1458,0.0187,-0.023,0.0139,148,2019-08-07 16:32:08:436
-6.1765,-5.7763,3.8953,-0.3738,-0.3428,0.1458,0.0187,-0.023,0.0139,153,2019-08-07 16:32:08:441
-6.143,-5.7572,3.8105,-0.3738,-0.3428,0.1458,0.0219,-0.0219,0.0246,157,2019-08-07 16:32:08:445
-6.143,-5.7572,3.8105,-0.3738,-0.3428,0.1458,0.0219,-0.0219,0.0246,163,2019-08-07 16:32:08:451
-6.1573,-5.7477,3.9047,-0.3748,-0.3568,0.1331,0.0176,-0.0219,0.0352,168,2019-08-07 16:32:08:456
-6.1573,-5.7477,3.9047,-0.3748,-0.3568,0.1331,0.0176,-0.0219,0.0352,172,2019-08-07 16:32:08:460
-6.1573,-5.7477,3.9047,-0.3748,-0.3568,0.1331,0.0176,-0.0049,0.0384,177,2019-08-07 16:32:08:465
-6.2003,-5.762,3.9236,-0.3748,-0.3568,0.1331,0.0176,-0.0049,0.0384,183,2019-08-07 16:32:08:471
-6.2003,-5.762,3.9236,-0.3268,-0.3691,0.1594,0.0101,0.0207,0.0374,188,2019-08-07 16:32:08:476
-6.2003,-5.762,3.9236,-0.3268,-0.3691,0.1594,0.0101,0.0207,0.0374,193,2019-08-07 16:32:08:481
-6.3056,-5.6713,3.8812,-0.3268,-0.3691,0.1594,0.0101,0.0207,0.0374,198,2019-08-07 16:32:08:486
-6.3056,-5.6713,3.8812,-0.3268,-0.3691,0.1594,0.008,0.0356,0.0363,202,2019-08-07 16:32:08:490
-6.3391,-5.6999,3.8529,-0.3268,-0.3691,0.1594,0.008,0.0356,0.0363,208,2019-08-07 16:32:08:496
-6.3391,-5.6999,3.8529,-0.2291,-0.3775,0.1702,6.0E-4,0.0431,0.0299,213,2019-08-07 16:32:08:501
-6.3391,-5.6999,3.8529,-0.2291,-0.3775,0.1702,6.0E-4,0.0431,0.0299,217,2019-08-07 16:32:08:505
-6.4012,-5.7286,3.9095,-0.2291,-0.3775,0.1702,-0.0048,0.0558,0.0203,223,2019-08-07 16:32:08:511
-6.4012,-5.7286,3.9095,-0.2291,-0.3775,0.1702,-0.0048,0.0558,0.0203,228,2019-08-07 16:32:08:516
-6.4299,-5.7524,3.9189,-0.1267,-0.3643,0.1258,-0.0058,0.0441,0.0182,232,2019-08-07 16:32:08:520
-6.4299,-5.7524,3.9189,-0.1267,-0.3643,0.1258,-0.0058,0.0441,0.0182,238,2019-08-07 16:32:08:526
-6.4299,-5.7524,3.9189,-0.1267,-0.3643,0.1258,-0.0069,0.0292,0.0139,243,2019-08-07 16:32:08:531
-6.3773,-5.8479,3.8718,-0.1267,-0.3643,0.1258,-0.0069,0.0292,0.0139,248,2019-08-07 16:32:08:536
-6.3773,-5.8479,3.8718,-0.1942,-0.2808,0.1159,-0.0069,0.0292,0.0139,253,2019-08-07 16:32:08:541
-6.3821,-5.8384,3.933,-0.1942,-0.2808,0.1159,-0.0037,0.0058,0.0193,258,2019-08-07 16:32:08:546
-6.3821,-5.8384,3.933,-0.1942,-0.2808,0.1159,-0.0037,0.0058,0.0193,263,2019-08-07 16:32:08:551
-6.3821,-5.8384,3.933,-0.1942,-0.2808,0.1159,0.0091,-0.0145,0.0224,268,2019-08-07 16:32:08:556
-6.3007,-5.8957,3.8906,-0.2587,-0.1873,0.1353,0.0091,-0.0145,0.0224,272,2019-08-07 16:32:08:560
-6.3007,-5.8957,3.8906,-0.2587,-0.1873,0.1353,0.0133,-0.0347,0.031,278,2019-08-07 16:32:08:566
-6.2481,-5.7906,3.8906,-0.2587,-0.1873,0.1353,0.0133,-0.0347,0.031,283,2019-08-07 16:32:08:571
-6.2481,-5.7906,3.8906,-0.2587,-0.1873,0.1353,0.0187,-0.0454,0.0374,288,2019-08-07 16:32:08:576
-6.2481,-5.7906,3.8906,-0.3599,-0.2823,0.1891,0.0187,-0.0454,0.0374,293,2019-08-07 16:32:08:581
-6.2337,-5.8193,3.8482,-0.3599,-0.2823,0.1891,0.0144,-0.0379,0.0363,298,2019-08-07 16:32:08:586
-6.2337,-5.8193,3.8482,-0.3599,-0.2823,0.1891,0.0144,-0.0379,0.0363,303,2019-08-07 16:32:08:591
-6.2064,-5.8,3.8291,-0.3599,-0.2823,0.1891,0.0176,-0.0166,0.0395,307,2019-08-07 16:32:08:595
-6.2064,-5.8,3.8291,-0.346,-0.2478,0.2379,0.0176,-0.0166,0.0395,313,2019-08-07 16:32:08:601
-6.2064,-5.8,3.8291,-0.346,-0.2478,0.2379,0.0176,0.0154,0.0352,318,2019-08-07 16:32:08:606
-6.2734,-5.7762,3.7772,-0.346,-0.2478,0.2379,0.0176,0.0154,0.0352,323,2019-08-07 16:32:08:611
-6.2734,-5.7762,3.7772,-0.346,-0.2478,0.2379,0.0144,0.0356,0.0299,327,2019-08-07 16:32:08:615
-6.2925,-5.7571,3.8008,-0.2653,-0.2515,0.1718,0.0144,0.0356,0.0299,333,2019-08-07 16:32:08:621
-6.2925,-5.7571,3.8008,-0.2653,-0.2515,0.1718,0.0144,0.0356,0.0299,338,2019-08-07 16:32:08:626
-6.2925,-5.7571,3.8008,-0.2653,-0.2515,0.1718,0.0112,0.0548,0.0171,344,2019-08-07 16:32:08:632
-6.3595,-5.7046,3.8526,-0.2653,-0.2515,0.1718,0.0112,0.0548,0.0171,348,2019-08-07 16:32:08:636
