ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.2086,-8.7898,2.6865,-0.1724,-0.08,0.1315,0.0069,0.0313,-0.0147,4,2019-08-07 16:20:29:658
3.2086,-8.7898,2.6865,0.0202,-0.1075,-0.0549,0.0069,0.0515,-0.0126,9,2019-08-07 16:20:29:663
3.0937,-8.7612,2.7761,0.0202,-0.1075,-0.0549,0.0069,0.0515,-0.0126,14,2019-08-07 16:20:29:668
3.0937,-8.7612,2.7761,0.0202,-0.1075,-0.0549,0.008,0.0473,-0.0126,19,2019-08-07 16:20:29:673
3.0555,-8.7612,2.8751,0.0202,-0.1075,-0.0549,0.008,0.0473,-0.0126,24,2019-08-07 16:20:29:678
3.0555,-8.7612,2.8751,0.0588,-0.1777,-0.1025,-0.0027,0.01,-0.0179,29,2019-08-07 16:20:29:683
3.0555,-8.7612,2.8751,0.0588,-0.1777,-0.1025,-0.0027,0.01,-0.0179,34,2019-08-07 16:20:29:688
3.1416,-8.7612,2.8986,0.0588,-0.1777,-0.1025,-0.0101,-0.023,-0.0169,39,2019-08-07 16:20:29:693
3.1416,-8.7612,2.8986,0.0588,-0.1777,-0.1025,-0.0101,-0.023,-0.0169,43,2019-08-07 16:20:29:697
3.199,-8.785,2.9364,-0.0563,-0.0764,-0.1372,-0.0176,-0.0443,-0.0084,49,2019-08-07 16:20:29:703
3.199,-8.785,2.9364,-0.0563,-0.0764,-0.1372,-0.0176,-0.0443,-0.0084,54,2019-08-07 16:20:29:708
3.199,-8.785,2.9364,-0.0563,-0.0764,-0.1372,-0.0218,-0.056,0.0012,59,2019-08-07 16:20:29:713
3.2851,-8.7516,2.8327,-0.0563,-0.0764,-0.1372,-0.0218,-0.056,0.0012,64,2019-08-07 16:20:29:718
3.2851,-8.7516,2.8327,-0.0563,-0.0764,-0.1372,-0.0218,-0.056,0.0012,69,2019-08-07 16:20:29:723
3.2851,-8.7516,2.8327,-0.1524,-0.1055,-0.073,-0.024,-0.0507,0.0055,74,2019-08-07 16:20:29:728
3.309,-8.7612,2.8562,-0.1524,-0.1055,-0.073,-0.024,-0.0507,0.0055,79,2019-08-07 16:20:29:733
3.309,-8.7612,2.8562,-0.1524,-0.1055,-0.073,-0.0272,-0.0337,0.0087,83,2019-08-07 16:20:29:737
3.2707,-8.7707,2.7195,-0.122,-0.0928,0.0662,-0.0325,-0.006,0.0098,89,2019-08-07 16:20:29:743
3.2707,-8.7707,2.7195,-0.122,-0.0928,0.0662,-0.0325,-0.006,0.0098,94,2019-08-07 16:20:29:748
3.2707,-8.7707,2.7195,-0.122,-0.0928,0.0662,-0.0346,0.027,0.0076,99,2019-08-07 16:20:29:753
3.175,-8.7612,2.7242,-0.122,-0.0928,0.0662,-0.0346,0.027,0.0076,104,2019-08-07 16:20:29:758
3.175,-8.7612,2.7242,-0.122,-0.0928,0.0662,-0.0346,0.027,0.0076,109,2019-08-07 16:20:29:763
3.175,-8.7612,2.7242,0.0287,-0.0617,-0.0141,-0.0325,0.0537,0.0066,113,2019-08-07 16:20:29:767
3.041,-8.8423,2.7337,0.0287,-0.0617,-0.0141,-0.0325,0.0537,0.0066,119,2019-08-07 16:20:29:773
3.041,-8.8423,2.7337,0.0287,-0.0617,-0.0141,-0.0314,0.0622,0.0012,123,2019-08-07 16:20:29:777
3.041,-8.8423,2.7337,0.0287,-0.0617,-0.0141,-0.0314,0.0622,0.0012,129,2019-08-07 16:20:29:783
2.9549,-8.8901,2.8279,0.1864,0.0219,-0.0486,-0.0314,0.0611,-0.0062,134,2019-08-07 16:20:29:788
2.9549,-8.8901,2.8279,0.1864,0.0219,-0.0486,-0.0314,0.0611,-0.0062,139,2019-08-07 16:20:29:793
2.9788,-8.8328,2.8939,0.1864,0.0219,-0.0486,-0.0229,0.0239,-0.0126,143,2019-08-07 16:20:29:797
2.9788,-8.8328,2.8939,0.1864,0.0219,-0.0486,-0.0229,0.0239,-0.0126,148,2019-08-07 16:20:29:802
2.9788,-8.8328,2.8939,0.1136,-0.0361,-0.1536,-0.0112,-0.0188,-0.0116,154,2019-08-07 16:20:29:808
3.108,-8.8662,2.8845,0.1136,-0.0361,-0.1536,-0.0112,-0.0188,-0.0116,160,2019-08-07 16:20:29:814
3.108,-8.8662,2.8845,0.1136,-0.0361,-0.1536,-0.0058,-0.0486,-0.0126,163,2019-08-07 16:20:29:817
3.108,-8.8662,2.8845,0.1136,-0.0361,-0.1536,-0.0058,-0.0486,-0.0126,169,2019-08-07 16:20:29:823
3.3137,-8.7803,2.8232,-0.1543,-0.0928,-0.0061,-0.0058,-0.0486,-0.0126,174,2019-08-07 16:20:29:828
3.3137,-8.7803,2.8232,-0.1543,-0.0928,-0.0061,-0.0048,-0.0678,2.0E-4,179,2019-08-07 16:20:29:833
3.3137,-8.7803,2.8232,-0.1543,-0.0928,-0.0061,-0.0048,-0.0678,2.0E-4,183,2019-08-07 16:20:29:837
3.4381,-8.6991,2.7006,-0.1543,-0.0928,-0.0061,-0.0027,-0.0507,-0.002,189,2019-08-07 16:20:29:843
3.4381,-8.6991,2.7006,-0.3017,-0.1447,0.0741,-0.0027,-0.0507,-0.002,194,2019-08-07 16:20:29:848
3.4285,-8.6609,2.7242,-0.3017,-0.1447,0.0741,-0.0048,-0.022,0.0076,199,2019-08-07 16:20:29:853
3.4285,-8.6609,2.7242,-0.3017,-0.1447,0.0741,-0.0048,-0.022,0.0076,204,2019-08-07 16:20:29:858
3.4285,-8.6609,2.7242,-0.3017,-0.1447,0.0741,-0.009,0.0175,0.0119,209,2019-08-07 16:20:29:863
3.4285,-8.6084,2.7572,-0.276,-0.2594,0.0107,-0.009,0.0175,0.0119,214,2019-08-07 16:20:29:868
3.4285,-8.6084,2.7572,-0.276,-0.2594,0.0107,-0.009,0.0175,0.0119,219,2019-08-07 16:20:29:873
3.4285,-8.6084,2.7572,-0.276,-0.2594,0.0107,-0.0101,0.0654,0.0129,224,2019-08-07 16:20:29:878
3.2467,-8.6179,2.7054,-0.276,-0.2594,0.0107,-0.0101,0.0654,0.0129,229,2019-08-07 16:20:29:883
3.2467,-8.6179,2.7054,0.0019,-0.2508,0.0831,-0.024,0.0835,0.0119,234,2019-08-07 16:20:29:888
3.0648,-8.6418,2.7761,0.0019,-0.2508,0.0831,-0.024,0.0835,0.0119,239,2019-08-07 16:20:29:893
3.0648,-8.6418,2.7761,0.0019,-0.2508,0.0831,-0.0421,0.0718,0.0066,243,2019-08-07 16:20:29:897
3.0648,-8.6418,2.7761,0.0019,-0.2508,0.0831,-0.0421,0.0718,0.0066,249,2019-08-07 16:20:29:903
2.9739,-8.8519,2.7713,0.1686,-0.0196,-0.004,-0.0538,0.0452,-0.002,254,2019-08-07 16:20:29:908
2.9739,-8.8519,2.7713,0.1686,-0.0196,-0.004,-0.0538,0.0452,-0.002,260,2019-08-07 16:20:29:914
2.9739,-8.8519,2.7713,0.1686,-0.0196,-0.004,-0.0549,0.0143,-0.0126,264,2019-08-07 16:20:29:918
2.9548,-8.8853,2.8562,0.1686,-0.0196,-0.004,-0.0549,0.0143,-0.0126,268,2019-08-07 16:20:29:922
2.9548,-8.8853,2.8562,0.154,0.0302,-0.017,-0.0495,-0.0241,-0.0158,274,2019-08-07 16:20:29:928
3.0505,-8.9569,2.7808,0.154,0.0302,-0.017,-0.0495,-0.0241,-0.0158,279,2019-08-07 16:20:29:933
3.0505,-8.9569,2.7808,0.154,0.0302,-0.017,-0.0378,-0.0518,-0.0147,283,2019-08-07 16:20:29:937
3.0505,-8.9569,2.7808,0.154,0.0302,-0.017,-0.0378,-0.0518,-0.0147,289,2019-08-07 16:20:29:943
3.1605,-8.8757,2.7713,-0.0037,0.0192,0.0669,-0.0293,-0.0635,-0.0126,293,2019-08-07 16:20:29:947
3.1605,-8.8757,2.7713,-0.0037,0.0192,0.0669,-0.0293,-0.0635,-0.0126,299,2019-08-07 16:20:29:953
3.3184,-8.8041,2.6865,-0.0037,0.0192,0.0669,-0.0293,-0.0635,-0.0126,303,2019-08-07 16:20:29:957
3.3184,-8.8041,2.6865,-0.0037,0.0192,0.0669,-0.0144,-0.0465,-0.0126,309,2019-08-07 16:20:29:963
3.3184,-8.8041,2.6865,-0.2555,-0.1716,0.0785,-0.0144,-0.0465,-0.0126,314,2019-08-07 16:20:29:968
3.4284,-8.7421,2.6865,-0.2555,-0.1716,0.0785,-0.008,-0.0113,-0.0169,319,2019-08-07 16:20:29:973
3.4284,-8.7421,2.6865,-0.2555,-0.1716,0.0785,-0.008,-0.0113,-0.0169,323,2019-08-07 16:20:29:977
3.3279,-8.6132,2.6016,-0.2555,-0.1716,0.0785,-0.0048,0.0281,-0.0222,329,2019-08-07 16:20:29:983
3.3279,-8.6132,2.6016,-0.155,-0.237,0.1203,-0.0048,0.0281,-0.0222,334,2019-08-07 16:20:29:988
3.3279,-8.6132,2.6016,-0.155,-0.237,0.1203,-0.0165,0.0579,-0.0254,339,2019-08-07 16:20:29:993
3.2753,-8.6561,2.6393,-0.1106,-0.203,0.0594,-0.0165,0.0579,-0.0254,343,2019-08-07 16:20:29:997
3.2753,-8.6561,2.6393,-0.1106,-0.203,0.0594,-0.0293,0.0729,-0.0275,349,2019-08-07 16:20:30:003
3.2753,-8.6561,2.6393,-0.1106,-0.203,0.0594,-0.0293,0.0729,-0.0275,354,2019-08-07 16:20:30:008
3.1844,-8.7421,2.7619,-0.1106,-0.203,0.0594,-0.0303,0.0633,-0.035,359,2019-08-07 16:20:30:013
3.1844,-8.7421,2.7619,0.0304,-0.0829,-0.0069,-0.0303,0.0633,-0.035,364,2019-08-07 16:20:30:018
3.1174,-8.785,2.7478,0.0304,-0.0829,-0.0069,-0.0229,0.0388,-0.0371,369,2019-08-07 16:20:30:023
3.1174,-8.785,2.7478,0.0304,-0.0829,-0.0069,-0.0229,0.0388,-0.0371,375,2019-08-07 16:20:30:029
3.1174,-8.785,2.7478,0.0304,-0.0829,-0.0069,-0.008,0.0121,-0.0467,379,2019-08-07 16:20:30:033
3.0934,-8.785,2.8986,0.0792,-0.1097,-0.1487,-0.008,0.0121,-0.0467,384,2019-08-07 16:20:30:038
3.0934,-8.785,2.8986,0.0792,-0.1097,-0.1487,-0.008,0.0121,-0.0467,388,2019-08-07 16:20:30:042
3.0934,-8.785,2.8986,0.0792,-0.1097,-0.1487,0.0069,-0.0347,-0.0488,394,2019-08-07 16:20:30:048
3.1891,-8.68,2.8467,0.0792,-0.1097,-0.1487,0.0069,-0.0347,-0.0488,400,2019-08-07 16:20:30:054
3.1891,-8.68,2.8467,-0.1912,-0.2439,-0.0688,0.0101,-0.0539,-0.0542,404,2019-08-07 16:20:30:058
3.4044,-8.5941,2.842,-0.1912,-0.2439,-0.0688,0.0101,-0.0539,-0.0542,408,2019-08-07 16:20:30:062
3.4044,-8.5941,2.842,-0.1912,-0.2439,-0.0688,0.0059,-0.0443,-0.0499,414,2019-08-07 16:20:30:068
3.4379,-8.5893,2.7383,-0.1912,-0.2439,-0.0688,0.0059,-0.0443,-0.0499,419,2019-08-07 16:20:30:073
3.4379,-8.5893,2.7383,-0.1912,-0.2439,-0.0688,0.0059,-0.0443,-0.0499,424,2019-08-07 16:20:30:078
3.4379,-8.5893,2.7383,-0.2635,-0.2153,-0.0411,-0.0016,-0.0038,-0.0435,429,2019-08-07 16:20:30:083
